video_id,video_url,year,duration,fps,resolution
RS0mFARO1x4,https://www.youtube.com/watch?v=RS0mFARO1x4,2011,276.442833,29.97002997,1920x1080
k1RTNQxNt6Q,https://www.youtube.com/watch?v=k1RTNQxNt6Q,2011,311.678033,29.97002997,1920x1080
HQbI8aWRU7o,https://www.youtube.com/watch?v=HQbI8aWRU7o,2011,241.1409,29.97002997,1920x1080
3rIk56dcBTM,https://www.youtube.com/watch?v=3rIk56dcBTM,2011,174.407567,29.97002997,1920x1080
QwlEcwZiPaE,https://www.youtube.com/watch?v=QwlEcwZiPaE,2011,196.930067,29.97002997,1920x1080
MXtmXLpna0I,https://www.youtube.com/watch?v=MXtmXLpna0I,2011,138.505033,29.97002997,1920x1080
fxXOlouckmE,https://www.youtube.com/watch?v=fxXOlouckmE,2011,254.589,29.97002997,1920x1080
A_KxOaDHi6o,https://www.youtube.com/watch?v=A_KxOaDHi6o,2011,152.0519,29.97002997,1920x1080
l9pBNENDXYo,https://www.youtube.com/watch?v=l9pBNENDXYo,2013,189.956433,29.97002997,1920x1080
U98V5ky0RBk,https://www.youtube.com/watch?v=U98V5ky0RBk,2013,228.795233,29.97002997,1920x1080
fafUiXUQ4Ac,https://www.youtube.com/watch?v=fafUiXUQ4Ac,2013,220.021,29.97002997,1920x1080
ToFyPVocxMk,https://www.youtube.com/watch?v=ToFyPVocxMk,2013,255.722133,29.97002997,1920x1080
u525d_b3TfY,https://www.youtube.com/watch?v=u525d_b3TfY,2013,397.830767,29.97002997,1920x1080
nkVvghOaoJs,https://www.youtube.com/watch?v=nkVvghOaoJs,2013,270.236633,29.97002997,1920x1080
N5Qu7t4Mb4I,https://www.youtube.com/watch?v=N5Qu7t4Mb4I,2013,489.355533,29.97002997,1920x1080
J81VYjZvg80,https://www.youtube.com/watch?v=J81VYjZvg80,2013,314.947967,29.97002997,1920x1080
AWyphq2wobE,https://www.youtube.com/watch?v=AWyphq2wobE,2013,209.642767,29.97002997,1920x1080
w9Kyhjk6uSk,https://www.youtube.com/watch?v=w9Kyhjk6uSk,2013,246.879967,29.97002997,1920x1080
hF_jFEvaWo4,https://www.youtube.com/watch?v=hF_jFEvaWo4,2013,375.041333,29.97002997,1920x1080
ER_MI5KWckY,https://www.youtube.com/watch?v=ER_MI5KWckY,2013,222.5223,29.97002997,1920x1080
2j3UEJGUHC0,https://www.youtube.com/watch?v=2j3UEJGUHC0,2013,254.821233,29.97002997,1920x1080
z_713w5z1QQ,https://www.youtube.com/watch?v=z_713w5z1QQ,2013,210.276733,29.97002997,1920x1080
-mT5x-j_TpI,https://www.youtube.com/watch?v=-mT5x-j_TpI,2013,215.5,29.97002997,1920x1080
IzgPV9TpX64,https://www.youtube.com/watch?v=IzgPV9TpX64,2014,207.32,25,1920x1080
t2GNNnXEWFY,https://www.youtube.com/watch?v=t2GNNnXEWFY,2014,213.24,25,1920x1080
